name,date,m,n,d,solution_id,algorithm,objectiveValue,objectiveFunction,job,operation,machine,processing_time,starttime,endtime,microruns,timeSeconds,memoryBytes,metadata,status
testsFromBenchmarks/ft06.txt,2023-11-07T12:11:23.865,6,6,0,9.951750336590342e18,Branch and Bound - Carlier,55,Cmax_function,1,1,3,1,5,6,2485,0.3470201,141923073,"Dict{String, Any}()",OK
testsFromBenchmarks/ft06.txt,2023-11-07T12:11:23.865,6,6,0,9.951750336590342e18,Branch and Bound - Carlier,55,Cmax_function,1,2,1,3,6,9,2485,0.3470201,141923073,"Dict{String, Any}()",OK
testsFromBenchmarks/ft06.txt,2023-11-07T12:11:23.865,6,6,0,9.951750336590342e18,Branch and Bound - Carlier,55,Cmax_function,1,3,2,6,16,22,2485,0.3470201,141923073,"Dict{String, Any}()",OK
testsFromBenchmarks/ft06.txt,2023-11-07T12:11:23.865,6,6,0,9.951750336590342e18,Branch and Bound - Carlier,55,Cmax_function,1,4,4,7,30,37,2485,0.3470201,141923073,"Dict{String, Any}()",OK
testsFromBenchmarks/ft06.txt,2023-11-07T12:11:23.865,6,6,0,9.951750336590342e18,Branch and Bound - Carlier,55,Cmax_function,1,5,6,3,37,40,2485,0.3470201,141923073,"Dict{String, Any}()",OK
testsFromBenchmarks/ft06.txt,2023-11-07T12:11:23.865,6,6,0,9.951750336590342e18,Branch and Bound - Carlier,55,Cmax_function,1,6,5,6,49,55,2485,0.3470201,141923073,"Dict{String, Any}()",OK
testsFromBenchmarks/ft06.txt,2023-11-07T12:11:23.865,6,6,0,9.951750336590342e18,Branch and Bound - Carlier,55,Cmax_function,2,1,2,8,0,8,2485,0.3470201,141923073,"Dict{String, Any}()",OK
testsFromBenchmarks/ft06.txt,2023-11-07T12:11:23.865,6,6,0,9.951750336590342e18,Branch and Bound - Carlier,55,Cmax_function,2,2,3,5,8,13,2485,0.3470201,141923073,"Dict{String, Any}()",OK
testsFromBenchmarks/ft06.txt,2023-11-07T12:11:23.865,6,6,0,9.951750336590342e18,Branch and Bound - Carlier,55,Cmax_function,2,3,5,10,13,23,2485,0.3470201,141923073,"Dict{String, Any}()",OK
testsFromBenchmarks/ft06.txt,2023-11-07T12:11:23.865,6,6,0,9.951750336590342e18,Branch and Bound - Carlier,55,Cmax_function,2,4,6,10,26,36,2485,0.3470201,141923073,"Dict{String, Any}()",OK
testsFromBenchmarks/ft06.txt,2023-11-07T12:11:23.865,6,6,0,9.951750336590342e18,Branch and Bound - Carlier,55,Cmax_function,2,5,1,10,40,50,2485,0.3470201,141923073,"Dict{String, Any}()",OK
testsFromBenchmarks/ft06.txt,2023-11-07T12:11:23.865,6,6,0,9.951750336590342e18,Branch and Bound - Carlier,55,Cmax_function,2,6,4,4,50,54,2485,0.3470201,141923073,"Dict{String, Any}()",OK
testsFromBenchmarks/ft06.txt,2023-11-07T12:11:23.865,6,6,0,9.951750336590342e18,Branch and Bound - Carlier,55,Cmax_function,3,1,3,5,0,5,2485,0.3470201,141923073,"Dict{String, Any}()",OK
testsFromBenchmarks/ft06.txt,2023-11-07T12:11:23.865,6,6,0,9.951750336590342e18,Branch and Bound - Carlier,55,Cmax_function,3,2,4,4,5,9,2485,0.3470201,141923073,"Dict{String, Any}()",OK
testsFromBenchmarks/ft06.txt,2023-11-07T12:11:23.865,6,6,0,9.951750336590342e18,Branch and Bound - Carlier,55,Cmax_function,3,3,6,8,9,17,2485,0.3470201,141923073,"Dict{String, Any}()",OK
testsFromBenchmarks/ft06.txt,2023-11-07T12:11:23.865,6,6,0,9.951750336590342e18,Branch and Bound - Carlier,55,Cmax_function,3,4,1,9,21,30,2485,0.3470201,141923073,"Dict{String, Any}()",OK
testsFromBenchmarks/ft06.txt,2023-11-07T12:11:23.865,6,6,0,9.951750336590342e18,Branch and Bound - Carlier,55,Cmax_function,3,5,2,1,30,31,2485,0.3470201,141923073,"Dict{String, Any}()",OK
